name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,bug
org.apache.log4j.helpers.ISO8601DateFormat,4,4,0,3,12,6,2,1,4,2.0,99,0.0,0,0.953488372,0.357142857,1,3,23.75,3,1.0,0.017148923128843307,0.02583058550953865,0.03141172602772713,-0.014021312817931175,0.03661351650953293,0.014151358976960182,0.01435502152889967,-0.011901849880814552,-0.01564124785363674,-0.011850709095597267,0.021382182836532593,0.00038028956623747945,-0.04792139679193497,-0.048327721655368805,-0.030740970745682716,-0.0006428480264730752,0.009987080469727516,0.047159839421510696,0.027921754866838455,-0.021453481167554855,0
org.apache.log4j.xml.Transform,2,1,0,0,3,1,0,0,2,2.0,6,0.0,0,0.0,0.5,0,0,2.0,1,0.5,-0.04698532074689865,-0.008015364408493042,0.015252995304763317,0.032828908413648605,0.03422620892524719,0.01604139246046543,-0.02221636101603508,-0.009195834398269653,-0.019701290875673294,0.028869574889540672,-0.03179354593157768,0.010515093803405762,-0.006726169493049383,-0.029063891619443893,-0.036231059581041336,0.029262810945510864,-0.04179102182388306,-0.0034362494479864836,0.014137131161987782,0.03869504854083061,0
org.apache.log4j.helpers.AppenderAttachableImpl,8,1,0,6,22,0,3,3,8,0.142857143,176,1.0,0,0.0,0.40625,0,0,20.875,5,3.125,-0.047500599175691605,0.0478111132979393,-0.03885377570986748,-0.01322754006832838,-0.024532044306397438,-0.02483348175883293,-0.040117956697940826,-0.03891792148351669,-0.022766059264540672,-0.006376808974891901,-0.025514941662549973,0.030702710151672363,-0.047583095729351044,-0.0265355221927166,0.047185759991407394,0.03495664522051811,0.03837908059358597,0.021173696964979172,0.0025354623794555664,-0.029905717819929123,0
org.apache.log4j.helpers.DateLayout,8,2,1,7,24,12,1,6,8,0.936507937,179,0.555555556,0,0.533333333,0.333333333,0,0,20.25,7,2.25,0.0354439839720726,-0.00783964991569519,0.03973749279975891,-0.047443293035030365,-0.04014749452471733,-0.033201854676008224,-0.020017271861433983,0.02494608238339424,-0.01906779408454895,-0.04159952327609062,0.04205888509750366,-0.01873501017689705,0.043043483048677444,-0.02447875775396824,0.019592970609664917,0.024610083550214767,0.011963045224547386,-0.014094019308686256,0.014245623722672462,-0.04128118231892586,0
org.apache.log4j.Layout,10,1,5,34,13,45,32,2,9,1.0,28,0.0,0,0.0,0.407407407,0,0,1.6,1,0.8,0.022431451827287674,0.030522609129548073,-0.01601048745214939,-0.02287864126265049,-0.002132582711055875,0.0126686692237854,-0.01631583645939827,0.030288588255643845,0.02077065035700798,0.0388229601085186,0.01284636277705431,0.04058341309428215,-0.0069360495544970036,0.040389638394117355,0.0185850802809,-0.04023662209510803,-0.01966807246208191,-0.012359392829239368,0.024465221911668777,-0.004360795021057129,0
org.apache.log4j.net.SyslogAppender,12,2,0,10,35,24,0,10,11,0.994134897,531,0.064516129,2,0.666666667,0.366666667,2,4,40.66666667,23,5.0833,0.04197961837053299,-0.0034066797234117985,0.04572204500436783,-0.040791105479002,0.018715422600507736,0.01317521370947361,0.0037135661114007235,0.011638378724455833,-0.03734546899795532,-0.04679187014698982,0.011772883124649525,0.030742276459932327,0.03992844372987747,0.02867947146296501,-0.0038866817485541105,0.041530825197696686,-0.04668157175183296,0.017030661925673485,0.0013337671989575028,0.019286220893263817,1
org.apache.log4j.net.DefaultEvaluator,2,1,0,4,4,1,1,3,1,2.0,10,0.0,0,0.0,0.75,0,0,4.0,1,0.5,-0.0015066445339471102,-0.022821491584181786,0.03313587233424187,0.0076358020305633545,-0.01670737937092781,0.030544858425855637,-0.03006642498075962,-0.023280847817659378,-0.036037545651197433,-0.021682899445295334,-0.009046649560332298,0.032448213547468185,-0.013851964846253395,0.024594837799668312,0.03452221304178238,-0.037318527698516846,0.022824252024292946,0.030634891241788864,-0.014772373251616955,0.03312510997056961,0
org.apache.log4j.test.DefaultInit,5,1,0,1,14,8,0,1,2,0.875,45,0.0,1,0.0,0.333333333,0,0,7.6,1,0.6,-0.046941377222537994,-0.005347949452698231,-0.03871443122625351,0.01476068515330553,-0.013430679216980934,0.04441499710083008,-0.017171699553728104,0.03419109433889389,0.020574349910020828,0.006821966264396906,-0.00020231008238624781,0.04086267203092575,0.011808687821030617,0.041291140019893646,0.016676926985383034,0.027115559205412865,0.025509566068649292,-0.038143910467624664,-0.028943002223968506,0.006170886568725109,0
org.apache.log4j.Dispatcher,2,2,0,4,11,0,1,3,1,0.0,67,0.0,2,0.983870968,0.666666667,0,0,31.5,5,2.5,0.04885146766901016,0.04082556813955307,0.006404859013855457,0.02548789419233799,0.007040643598884344,-0.03227580711245537,-0.007140255067497492,0.03224582597613335,-0.023086529225111008,-0.01996532641351223,0.024622023105621338,0.013565492816269398,-0.00923987664282322,-0.014384716749191284,0.030053656548261642,-0.028583694249391556,-0.016183514147996902,-0.03243912383913994,-0.021173160523176193,-0.04290497303009033,0
org.apache.log4j.performance.ConcatVsArray,3,1,0,0,14,3,0,0,2,2.0,133,0.0,0,0.0,0.333333333,0,0,43.33333333,4,1.6667,0.0015638887416571379,-0.028734052553772926,-0.005548298358917236,-0.021030467003583908,-0.04319412633776665,0.005310481879860163,0.02955545112490654,-0.01105484925210476,-0.03585408255457878,0.015767186880111694,-0.0019234300125390291,-0.027605712413787842,-0.005528145935386419,-0.003198272082954645,-0.01591544784605503,-0.0497753843665123,0.03819296881556511,0.01863003894686699,-0.012646066956222057,0.03653587028384209,0
