name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,bug
org.apache.lucene.analysis.WhitespaceAnalyzer,2,2,0,3,4,1,0,3,2,2.0,10,0.0,0,0.666666667,0.666666667,0,0,4.0,1,0.5,-0.04128703474998474,0.036050599068403244,-0.012246859259903431,-0.03771583363413811,-0.029551928862929344,0.0308776143938303,-0.012398451566696167,-0.03072894737124443,-0.008089905604720116,-0.007367759943008423,-0.016274219378829002,-0.01044619083404541,0.02052866853773594,0.007232999894768,-0.017451709136366844,0.013461870141327381,0.026144713163375854,-0.045954056084156036,-0.03779168799519539,0.03148183971643448,0
org.apache.lucene.search.QueryTermVector,10,1,0,4,37,0,0,4,9,0.388888889,278,1.0,0,0.0,0.34,0,0,26.6,5,1.6,0.047760915011167526,-0.036782123148441315,-0.03635193780064583,-0.011326944455504417,-0.0038928030990064144,-0.016080517321825027,-0.0029629289638251066,0.037444114685058594,-0.0034875930286943913,-0.008124703541398048,0.013721996918320656,-0.041795503348112106,0.0392790213227272,0.0426805205643177,-0.047920435667037964,0.012231332249939442,0.049524854868650436,-0.03832901641726494,-0.034834593534469604,-0.03868258744478226,0
org.apache.lucene.analysis.PorterStemmer,27,1,0,1,43,13,1,0,13,0.600961538,1174,1.0,0,0.0,0.25308642,0,0,42.18518519,26,5.7407,-0.007555067539215088,-0.020172517746686935,-0.02199426293373108,-0.02314692735671997,-0.027978569269180298,-0.026509016752243042,-0.04011151194572449,0.04759422689676285,0.03199532628059387,-0.01803346909582615,0.012392210774123669,-0.03821247071027756,0.03761550784111023,0.04152367636561394,0.003947150893509388,-0.03416495397686958,-0.014788639731705189,0.02366984449326992,-0.014696920290589333,0.01588236726820469,0
org.apache.lucene.index.TermPositions,1,1,0,21,1,0,20,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,-0.038881946355104446,-0.03378813713788986,-0.015769869089126587,0.03307598829269409,-0.004171133041381836,0.04442078620195389,-0.011458921246230602,-0.02652156911790371,0.019576525315642357,0.011082368902862072,-0.0014019131194800138,-0.012264406308531761,-0.03001267835497856,0.0201883427798748,-0.0380578450858593,-0.04453269764780998,-0.04580763727426529,0.041940342634916306,0.02000292018055916,0.035460829734802246,1
org.apache.lucene.analysis.TokenStream,3,1,2,19,4,3,18,1,3,2.0,7,0.0,0,0.0,1.0,0,0,1.333333333,1,0.6667,-0.04700147360563278,0.00589066743850708,-0.018751174211502075,-0.012756437063217163,0.02892470359802246,0.017752408981323242,0.009104591794312,-0.006870252080261707,0.04938738793134689,0.0014328003162518144,0.025077277794480324,0.045188747346401215,-0.04883289337158203,-0.045776862651109695,0.04961413890123367,0.013683939352631569,-0.009427905082702637,0.02362031862139702,-0.02157701924443245,-0.03198819234967232,1
org.apache.lucene.search.ExactPhraseScorer,2,3,0,8,8,1,2,6,0,2.0,61,0.0,0,0.952380952,0.583333333,1,1,29.5,1,0.5,0.0038471638690680265,0.022021174430847168,-0.025516873225569725,-0.010553347878158092,0.04047739505767822,-0.021218961104750633,-0.038181304931640625,0.04628956317901611,-0.010777485556900501,-0.02359716221690178,0.04285399988293648,0.021416693925857544,0.021624183282256126,0.0464225634932518,-0.042265404015779495,0.0262765996158123,0.01019675750285387,0.02094140090048313,0.008489501662552357,0.022320669144392014,1
org.apache.lucene.search.RangeFilter,7,2,0,6,30,1,1,5,7,0.0,373,1.0,0,0.142857143,0.314285714,1,1,51.57142857,12,3.5714,0.04197961837053299,-0.0034066797234117985,0.04572204500436783,-0.040791105479002,0.018715422600507736,0.01317521370947361,0.0037135661114007235,0.011638378724455833,-0.03734546899795532,-0.04679187014698982,0.011772883124649525,0.030742276459932327,0.03992844372987747,0.02867947146296501,-0.0038866817485541105,0.041530825197696686,-0.04668157175183296,0.017030661925673485,0.0013337671989575028,0.019286220893263817,0
org.apache.lucene.index.SegmentInfo,1,1,0,5,2,0,4,1,1,2.0,16,0.0,1,0.0,1.0,0,0,12.0,0,0.0,-0.03574635833501816,-0.012613797560334206,-0.043609071522951126,0.0077811600640416145,0.010053491219878197,0.01203660387545824,0.005403453018516302,0.0004510343133006245,0.011064743623137474,-0.004731017164885998,0.029608052223920822,-0.01477234996855259,-0.025424426421523094,-0.026638399809598923,-0.0483444407582283,-0.040564604103565216,0.010589897632598877,0.019922489300370216,-0.028878767043352127,-0.048408638685941696,1
org.apache.lucene.store.BufferedIndexInput,9,2,3,4,14,0,3,1,6,0.575,204,0.8,0,0.619047619,0.416666667,1,4,21.11111111,2,1.0,-0.012389212846755981,-0.02110239304602146,0.02406168542802334,0.0220011118799448,-0.013266813941299915,-0.03670940548181534,-0.017829257994890213,-0.0016830742824822664,0.030479460954666138,-0.014186692424118519,-0.0006044745678082108,0.004398631863296032,-0.035478245466947556,0.010325009003281593,-0.00716211786493659,0.014010745100677013,0.024211108684539795,-0.00676009664312005,-0.013900714926421642,0.03869323804974556,1
org.apache.lucene.index.TermInfosWriter,6,1,0,8,29,0,2,6,0,0.436363636,383,0.727272727,5,0.0,0.479166667,0,0,61.0,1,0.6667,-0.0004072010633535683,0.02780821919441223,-0.04868318885564804,0.008275747299194336,0.007875412702560425,-0.0262379702180624,0.0003556430456228554,0.030290281400084496,-0.032999373972415924,0.0014458715450018644,0.019475799053907394,0.008527284488081932,0.014302480034530163,0.04077316075563431,0.03345115855336189,0.01753026247024536,0.03987901657819748,-0.038334090262651443,0.0376669242978096,0.019447576254606247,1
org.apache.lucene.search.MultiSearcher,15,2,1,19,50,0,2,18,13,0.476190476,557,1.0,1,0.611111111,0.251851852,1,5,35.93333333,6,1.2667,0.02144579216837883,-0.01869521662592888,0.04189087823033333,0.007669967599213123,-0.03621159866452217,0.04716899245977402,0.03815606236457825,0.027466410771012306,-0.03424422815442085,0.029113393276929855,0.020045464858412743,0.025926847010850906,0.021279508247971535,0.009698772802948952,-0.015850812196731567,0.041769225150346756,0.04806090146303177,0.01896301470696926,-0.014184975996613503,3.563761856639758e-05,1
org.apache.lucene.analysis.standard.ParseException,5,4,0,2,18,0,1,1,4,0.55,380,0.4,1,0.866666667,0.4,1,1,74.0,14,4.8,-0.011614769697189331,-0.020530682057142258,-0.026139695197343826,-0.0023594379890710115,0.023056071251630783,-0.024909567087888718,-0.008228284306824207,0.04328189417719841,-0.006542182061821222,-0.01785907708108425,0.03715818002820015,0.0060960231348872185,-0.0017023682594299316,0.047298870980739594,0.04062803462147713,0.017089271917939186,0.016791272908449173,-0.011423563584685326,0.0404726043343544,0.025304431095719337,1
org.apache.lucene.search.MultiPhraseQuery,17,2,0,12,55,12,3,10,13,0.625,404,1.0,0,0.428571429,0.158823529,2,4,22.52941176,7,2.0588,-0.03532418608665466,-0.02431325986981392,-0.018892819061875343,-0.042680997401475906,0.039778031408786774,-0.02421969175338745,0.04211806505918503,0.026312852278351784,-0.03275012969970703,0.019789356738328934,0.02735074795782566,-0.03713268041610718,-0.03702859953045845,-0.012376153841614723,-0.04312862828373909,-0.007907861843705177,-0.0020171641372144222,0.016498422250151634,0.00720940250903368,-0.004407107830047607,1
org.apache.lucene.store.IndexOutput,14,1,1,18,17,91,18,0,14,2.0,189,0.0,0,0.0,0.297619048,0,0,12.5,1,0.9286,-0.03595471382141113,0.02116445265710354,0.010816973634064198,0.03720357269048691,-0.02444632723927498,-0.022821730002760887,-0.030490869656205177,0.01649683713912964,-0.02249731495976448,0.042614422738552094,-0.021444136276841164,-0.045527100563049316,-0.024081777781248093,0.032082449644804,-0.03185661882162094,-0.026307683438062668,-0.03652205318212509,0.03011130727827549,0.016787970438599586,0.014241951517760754,1
org.apache.lucene.search.HitQueue,2,2,0,6,4,1,4,2,0,2.0,39,0.0,0,0.916666667,0.666666667,1,3,18.5,4,2.0,-0.043098438531160355,0.01832869090139866,0.025949418544769287,0.028709691017866135,0.037334591150283813,-0.0308383759111166,0.005528068635612726,0.030236411839723587,-0.01420025248080492,-0.03086761198937893,-0.002051115036010742,-0.041844744235277176,-0.028000062331557274,0.035522691905498505,0.01676269806921482,0.03612834960222244,0.03400123864412308,0.03765370696783066,-0.01894577220082283,-0.002809029771015048,0
org.apache.lucene.search.NonMatchingScorer,6,2,0,4,10,15,1,3,6,2.0,31,0.0,0,0.615384615,0.666666667,1,3,4.166666667,1,0.8333,-0.04121338576078415,0.04649677127599716,-0.000988304615020752,-0.009836381301283836,0.02301815152168274,-0.020476579666137695,0.013715570792555809,0.03469983488321304,0.03032713010907173,-0.037553973495960236,0.046911753714084625,0.023359041661024094,0.019830603152513504,-0.031217526644468307,0.042299896478652954,-0.010750824585556984,0.044125936925411224,-0.026810014620423317,-0.04064709693193436,0.03412279486656189,0
org.apache.lucene.search.TopFieldDocs,1,2,0,14,2,0,11,3,0,2.0,11,0.0,1,1.0,1.0,0,0,9.0,0,0.0,-0.04698532074689865,-0.008015364408493042,0.015252995304763317,0.032828908413648605,0.03422620892524719,0.01604139246046543,-0.02221636101603508,-0.009195834398269653,-0.019701290875673294,0.028869574889540672,-0.03179354593157768,0.010515093803405762,-0.006726169493049383,-0.029063891619443893,-0.036231059581041336,0.029262810945510864,-0.04179102182388306,-0.0034362494479864836,0.014137131161987782,0.03869504854083061,0
org.apache.lucene.search.spans.SpanNearQuery,12,3,0,7,46,0,1,7,12,0.613636364,343,1.0,0,0.592592593,0.208333333,2,2,27.25,7,1.75,-0.02486783266067505,-0.006416523363441229,0.016403187066316605,-0.03207016736268997,-0.048507947474718094,-0.04630116745829582,0.04510348290205002,0.026858467608690262,-0.02394113503396511,-0.04164820909500122,0.006469756364822388,0.014390313997864723,-0.0062264204025268555,0.0063543557189404964,-0.02160651609301567,0.02395682968199253,0.007375925779342651,0.04438912123441696,-0.049882568418979645,-0.026347851380705833,1
